�ния в крови меди;R79.0;47831
10057929;Поражение зрительного нерва;H47.0;57997
10057930;Поражение зрительного тракта;H47.5;57998
10057931;Поражение зрительной лучистости;H47.5;57999
10057932;Поражение зрительных нервов;H47.0;58000
10057933;Поражение зрительных проводящих путей;H47.7;58001
10057934;Поражение зрительных проводящих путей уточненное;H47.5;58002
10057935;Поражение зуба;K08.9;58003
10057936;"Поражение зуба ""белые пятна""";K02.0;58004
10057937;"Поражение зуба ""белые пятна"" начальный кариес";K02.0;58005
10057938;Поражение зубов;K08.9;58006
10057939;"Поражение зубов ""белые пятна""";K02.0;58007
10057940;"Поражение зубов ""белые пятна"" начальный кариес";K02.0;58008
10057941;Поражение илеоцекальной петли;K63.9;58009
10057942;Поражение кардии;K22.9;58010
10057943;Поражение кишечника;K63.9;58011
10057944;Поражение клапана легочной артерии;I37.9;58012
10057945;Поражение кожи;L98.9;58013
10057946;Поражение кожи гнойное;L08.0;58014
10057947;Поражение коленного мениска;M23.3;58015
10057948;Поражение коленного мениска, повторяющийся вывих;M24.4;58016
10057949;Поражение коленного мениска, повторяющийся подвывих;M24.4;58017
10057950;Поражение коленного сустава;M23.9;58018
10057951;Поражение коленного сустава, повторяющийся вывих;M24.4;58019
10057952;Поражение коленного сустава, повторяющийся подвывих;M24.4;58020
10057953;Поражение коленного сустава, текущая травма;S83.2;58021
10057954;Поражение коленного сустава, текущая травма уточненная;M23.8;58022
10057955;Поражение коленного хряща, текущая травма;S83.2;58023
10057956;Поражение конского хвоста;G83.4;58024
10057957;Поражение конъюнктивы;H11.9;58025
10057958;Поражение копчика;M53.3;58026
10057959;Поражение корковой зрительной области;H47.6;58027
10057960;Поражение коронарной артерии;I25.9;58028
10057961;Поражение кости;M89.9;58029
10057962;Поражение крестца;M53.3;58030
10057963;Поражение крестцово-копчиковое;M53.3;58031
10057964;Поражение крестцово-подвздошного сустава;M53.3;58032
10057965;Поражение крестцово-подвздошного сустава старое;M53.3;58033
10057966;Поражение латерального мениска;M23.3;58034
10057967;Поражение латерального мениска в результате старого разрыва;M23.2;58035
10057968;Поражение латерального мениска в результате травмы;M23.2;58036
10057969;Поражение латерального мениска, повторяющийся вывих;M24.4;58037
10057970;Поражение латерального мениска, повторяющийся подвывих;M24.4;58038
10057971;Поражение легкого;R91;58039
10057972;Поражение легкого монетовидное;R91;58040
10057973;Поражение легкого монетообразное;R91;58041
10057974;Поражение легочное;J98.4;58042
10057975;Поражение лицевого нерва;G51.9;58043
10057976;Поражение лицевого уточненного нерва;G51.8;58044
10057977;Поражение лицевых нервов;G51.9;58045
10057978;Поражение лицевых уточненных нервов;G51.8;58046
10057979;Поражение локтевого нерва;G56.2;58047
10057980;Поражение локтевого сустава;M24.9;58048
10057981;Поражение локтевого сустава внутреннее;M24.9;58049
10057982;Поражение локтевого сустава, повторяющийся вывих;M24.4;58050
10057983;Поражение локтевого сустава, повторяющийся подвывих;M24.4;58051
10057984;Поражение локтевых нервов;G56.2;58052
10057985;Поражение лучевого нерва;G56.3;58053
10057986;Поражение лучевое;T66;58054
10057987;Поражение лучевых нервов;G56.3;58055
10057988;Поражение малоберцового нерва;G57.3;58056
10057989;Поражение малоберцовых нервов;G57.3;58057
10057990;Поражение матки;N85.9;58058
10057991;Поражение медиального мениска;M23.3;58059
10057992;Поражение медиального мениска в результате старого разрыва;M23.2;58060
10057993;Поражение медиального мениска в результате травмы;M23.2;58061
10057994;Поражение медиального мениска, повторяющийся вывих;M24.4;58062
10057995;Поражение медиального мениска, повторяющийся подвывих;M24.4;58063
10057996;Поражение межпозвоночного диска;M51.9;58064
10057997;Поражение межреберного нерва;G58.0;58065
10057998;Поражение межреберных нервов;G58.0;58066
10057999;Поражение мениска;M23.9;58067
10058000;Поражение мениска, текущая травма;S83.2;58068
10058001;Поражение митрального клапана;I05.9;58069
10058002;Поражение молнией;T75.0;58070
10058003;Поражение молнией пострадавший;T75.0;58071
10058004;Поражение молнией шок;T75.0;58072
10058005;Поражение монетообразное;R91;58073
10058006;Поражение мочевого пузыря;N32.9;58074
10058007;Поражение мочевого пузыря при шистосомозе;B65.0;58075
10058008;Поражение мочевого пузыря уточненное;N32.8;58076
10058009;Поражение мочевого пузыря функциональное;N31.9;58077
10058010;Поражение мочеточника;N28.9;58078
10058011;Поражение мочеточника при туберкулезе;A18.1;58079
10058012;Поражение мочеточника при шистосомозе;B65.0;58080
10058013;Поражение надколенника;M22.9;58081
10058014;Поражение надколенника уточненное;M22.8;58082
10058015;Поражение нерва;G58.9;58083
10058016;Поражение нерва вержней конечности уточненного;G56.8;58084
10058017;Поражение нерва верхней конечности;G56.9;58085
10058018;Поражение нерва множественное;G58.7;58086
10058019;Поражение нерва нижней конечности;G57.9;58087
10058020;Поражение нерва нижней конечности уточненного;G57.8;58088
10058021;Поражение нервного сплетения;G54.9;58089
10058022;Поражение нервного сплетения уточненное;G54.8;58090
10058023;Поражение нервной системы врожденное;Q07.9;58091
10058024;Поражение нервных корешков;G54.9;58092
10058025;Поражение нервных корешков уточненное;G54.8;58093
10058026;Поражение нервов;G58.9;58094
10058027;Поражение нервов вержней конечности уточненных;G56.8;58095
10058028;Поражение нервов верхней конечности;G56.9;58096
10058029;Поражение нервов множественное;G58.7;58097
10058030;Поражение нервов нижней конечности;G57.9;58098
10058031;Поражение нервов нижней конечности уточненных;G57.8;58099
10058032;Поражение нижней части спины;M53.8;58100
10058033;Поражение носа;J34.8;58101
10058034;Поражение носа внутреннее;J34.8;58102
10058035;Поражение области зрительной лучистости;H47.5;58103
10058036;Поражение области шеи;M53.8;58104
10058037;Поражение ободочной кишки;K63.9;58105
10058038;Поражение обонятельного нерва;G52.0;58106
10058039;Поражение обонятельных нервов;G52.0;58107
10058040;Поражение остеолитическое;M89.5;58108
10058041;Поражение отводящего нерва;H49.2;58109
10058042;Поражение отводящих нервов;H49.2;58110
10058043;Поражение пародонта, вызванное травматической окклюзией;K05.5;58111
10058044;Поражение пептическое;K27.9;58112
10058045;Поражение первичное;A51.0;58113
10058046;Поражение первичное карат;A67.0;58114
10058047;Поражение первичное пинта;A67.0;58115
10058048;Поражение первичное сифилитическое;A51.0;58116
10058049;Поражение первичное фрамбезийное;A66.0;58117
10058050;Поражение переднего рога мениска;M23.3;58118
10058051;Поражение переднего рога мениска в результате старого разрыва;M23.2;58119
10058052;Поражение переднего рога мениска в результате травмы;M23.2;58120
10058053;Поражение переднего рога мениска, повторяющийся вывих;M24.4;58121
10058054;Поражение переднего рога мениска, повторяющийся подвывих;M24.4;58122
10058055;Поражение перекреста зрительного нерва;H47.4;58123
10058056;Поражение перекреста зрительных нервов;H47.4;58124
10058057;Поражение перонеального нерва;G57.3;58125
10058058;Поражение перонеальных нервов;G57.3;58126
10058059;Поражение печени;K76.9;58127
10058060;Поражение печени алкогольное;K70.9;58128
10058061;Поражение печени малярийное;B54;58129
10058062;Поражение печени нетравматическое;K70.9;58130
10058063;Поражение пещеристого тела;N48.9;58131
10058064;Поражение пигмента;L81.9;58132
10058065;Поражение пигмента кожи;L81.9;58133
10058066;Поражение пилоруса;K31.9;58134
10058067;Поражение плеча;M75.9;58135
10058068;Поражение плеча уточненное;M75.8;58136
10058069;Поражение плечевого сплетения;G54.0;58137
10058070;Поражение плечевого сустава;M24.9;58138
10058071;Поражение плечевого сустава внутреннее;M24.9;58139
10058072;Поражение плечевого сустава, текущая травма;S43.0;58140
10058073;Поражение пневмогастрального нерва;G52.2;58141
10058074;Поражение пневмогастральных нервов;G52.2;58142
10058075;Поражение подвздошной кишки;K63.9;58143
10058076;Поражение подколенного нерва;G57.4;58144
10058077;Поражение подколенных нервов;G57.4;58145
10058078;Поражение подошвенного нерва;G57.6;58146
10058079;Поражение подошвенных нервов;G57.6;58147
10058080;Поражение подъязычного нерва;G52.3;58148
10058081;Поражение подъязычных нервов;G52.3;58149
10058082;Поражение полости рта;K13.7;58150
10058083;Поражение полулунного хряща;M23.3;58151
10058084;Поражение полулунного хряща коленного сустава;M23.3;58152
10058085;Поражение почки;N28.9;58153
10058086;Поражение пояснично-крестцового корешка;G54.4;58154
10058087;Поражение пояснично-крестцового нервного корешка;G54.4;58155
10058088;Поражение пояснично-крестцового сплетения;G54.1;58156
10058089;Поражение пояснично-крестцовых нервных корешков;G54.4;58157
10058090;Поражение предперекреста зрительных нервов;H47.4;58158
10058091;Поражение придаточной носовой пазухи;J34.8;58159
10058092;Поражение придаточной пазухи;J34.8;58160
10058093;Поражение прямой и сигмовидной кишки;K63.9;58161
10058094;Поражение рентгеновскими лучами;T66;58162
10058095;Поражение рентгеновскими лучами радиационное;T66;58163
10058096;Поражение рта;K13.7;58164
10058097;Поражение связок;M24.2;58165
10058098;Поражение седалищного нерва;G57.0;58166
10058099;Поражение седалищных нервов;G57.0;58167
10058100;Поражение селезенки;D73.8;58168
10058101;Поражение сердечно-почечное;I13.9;58169
10058102;Поражение сердечно-почечное сосудистое;I13.9;58170
10058103;Поражение сердца;I51.9;58171
10058104;Поражение сердца врожденное;Q24.9;58172
10058105;Поражение сердца органическое;I51.9;58173
10058106;Поражение сетчатки;H35.9;58174
10058107;Поражение сигмовидной кишки;K63.9;58175
10058108;Поражение симпатических нервов;G90.9;58176
10058109;Поражение симпатического нерва;G90.9;58177
10058110;Поражение слепой кишки;K63.9;58178
10058111;Поражение слизистой оболочки полости рта;K13.7;58179
10058112;Поражение слухового нерва;H93.3;58180
10058113;Поражение слуховой трубы;H69.9;58181
10058114;Поражение слуховой трубы уточненное;H69.8;58182
10058115;Поражение слуховых нервов;H93.3;58183
10058116;Поражение слюнной железы;K11.9;58184
10058117;Поражение слюнной железы доброкачественное лимфоэпителиальное;K11.8;58185
10058118;Поражение сосудистое;I99;58186
10058119;Поражение сосудистое влияющее на центральную нервную систему;I67.9;58187
10058120;Поражение сосудистое пуповины, осложняющее родоразрешение;O69.5;58188
10058121;Поражение сосудистое пуповины, осложняющее родоразрешение, влияние на новорожденного;P02.6;58189
10058122;Поражение сосудистое пуповины, осложняющее родоразрешение, влияние на плод;P02.6;58190
10058123;Поражение сосудистое сетчатки;H35.0;58191
10058124;Поражение сосудов;I99;58192
10058125;Поражение сосудов сетчатки;H35.0;58193
10058126;Поражение сосцевидного отростка после медицинских процедур;H95.9;58194
10058127;Поражение сосцевидного отростка после медицинских процедур уточненное;H95.8;58195
10058128;Поражение спинного мозга;G95.9;58196
10058129;Поражение спинного мозга врожденное;Q06.9;58197
10058130;Поражение спинного мозга травматическое;T09.3;58198
10058131;Поражение спинного мозга травматическое неполное;T09.3;58199
10058132;Поражение спинного мозга травматическое полное;T09.3;58200
10058133;Поражение спинного мозга травматическое поперечное;T09.3;58201
10058134;Поражение сплетения;G54.9;58202
10058135;Поражение срединного нерва;G56.1;58203
10058136;Поражение срединных нервов;G56.1;58204
10058137;Поражение субэндокарда;I51.5;58205
10058138;Поражение субэндокардиальное;I51.5;58206
10058139;Поражение сустава;M25.9;58207
10058140;Поражение сустава внутреннее;M24.9;58208
10058141;Поражение сустава уточненного;M24.8;58209
10058142;Поражение сустава, повторяющийся вывих;M24.4;58210
10058143;Поражение сустава, повторяющийся подвывих;M24.4;58211
10058144;Поражение сустава, текущая травма;T14.3;58212
10058145;Поражение суставного хряща;M24.1;58213
10058146;Поражение суставного хряща, повторяющийся вывих;M24.4;58214
10058147;Поражение суставного хряща, повторяющийся подвывих;M24.4;58215
10058148;Поражение сухожилия;M67.9;58216
10058149;Поражение сухожилия плечевой области;M75.8;58217
10058150;Поражение тонзиллярной ямки;J35.9;58218
10058151;Поражение травматическое;T14.9;58219
10058152;Поражение трехстворчатого клапана;I07.9;58220
10058153;Поражение трехстворчатого клапана неревматическое;I36.9;58221
10058154;Поражение тройничного нерва;G50.9;58222
10058155;Поражение тройничного нерва уточненное;G50.8;58223
10058156;Поражение тройничных нервов;G50.9;58224
10058157;Поражение тройничных нервов уточненное;G50.8;58225
10058158;Поражение тубулоинтерстициальное при болезни Вильсона;E83.0;58226
10058159;Поражение тубулоинтерстициальное при болезни накопления гликогена;E74.0;58227
10058160;Поражение тубулоинтерстициальное при бруцеллезе неуточненном;A23.9;58228
10058161;Поражение тубулоинтерстициальное при бруцеллезе, вызванном Brucella abortus;A23.1;58229
10058162;Поражение тубулоинтерстициальное при бруцеллезе, вызванном Brucella canis;A23.3;58230
10058163;Поражение тубулоинтерстициальное при бруцеллезе, вызванном Brucella melitensis;A23.0;58231
10058164;Поражение тубулоинтерстициальное при бруцеллезе, вызванном Brucella suis;A23.2;58232
10058165;Поражение тубулоинтерстициальное при дифтерии;A36.8;58233
10058166;Поражение тубулоинтерстициальное при других формах бруцеллеза;A23.8;58234
10058167;Поражение тубулоинтерстициальное при лейкемии;C95.9;58235
10058168;Поражение тубулоинтерстициальное при множественной миеломе;C90.0;58236
10058169;Поражение тубулоинтерстициальное при отторжении других пересаженных органов и тканей;T86.8;58237
10058170;Поражение тубулоинтерстициальное при отторжении сердечно-легочного трансплантата;T86.3;58238
10058171;Поражение тубулоинтерстициальное при отторжении трансплантата костного мозга;T86.0;58239
10058172;Поражение тубулоинтерстициальное при отторжении трансплантата неуточненного;T86.9;58240
10058173;Поражение тубулоинтерстициальное при отторжении трансплантата печени;T86.4;58241
10058174;Поражение тубулоинтерстициальное при отторжении трансплантата почки;T86.1;58242
10058175;Поражение тубулоинтерстициальное при отторжении трансплантата сердца;T86.2;58243
10058176;Поражение тубулоинтерстициальное при сальмонеллезной инфекции;A02.2;58244
10058177;Поражение тубулоинтерстициальное при саркоидозе;D86.8;58245
10058178;Поражение тубулоинтерстициальное при системной красной волчанке;M32.1;58246
10058179;Поражение тубулоинтерстициальное при смешанной криоглобулинемии;D89.1;58247
10058180;Поражение тубулоинтерстициальное при токсоплазмозе;B58.8;58248
10058181;Поражение тубулоинтерстициальное при цистинозе;E72.0;58249
10058182;Поражение угла глазной щели;H02.9;58250
10058183;Поражение уточненного нерва;G58.8;58251
10058184;Поражение уточненного черепного нерва;G52.8;58252
10058185;Поражение уточненное;M22.8;58253
10058186;Поражение уточненных нервов;G58.8;58254
10058187;Поражение уточненных черепных нервов;G52.8;58255
10058188;Поражение уха после медицинских процедур;H95.9;58256
10058189;Поражение уха уточненное после медицинских процедур;H95.8;58257
10058190;Поражение хряща;M94.9;58258
10058191;Поражение церебрального нерва;G52.9;58259
10058192;Поражение церебральных нервов;G52.9;58260
10058193;Поражение цереброваскулярное;I67.9;58261
10058194;Поражение черепного нерва;G52.9;58262
10058195;Поражение черепного нерва множественное;G52.7;58263
10058196;Поражение черепных нервов;G52.9;58264
10058197;Поражение черепных нервов множественное;G52.7;58265
10058198;Поражение шеи;M53.8;58266
10058199;Поражение шейных нервных корешков;G54.2;58267
10058200;Поражение языкоглоточного нерва;G52.1;58268
10058201;Поражение языкоглоточных нервов;G52.1;58269
10058202;Поражение, вызванное радием;T66;58270
10058203;Поражения молнией последствия;T75.0;58271
10058204;Порез скальпелем как родовая травма;P15.8;58272
10058205;Порок развития аортального клапана;Q23.9;58273
10058206;Порок развития аортального клапана уточненный;Q23.8;58274
10058207;Порок развития артеровенозный аневризматический;Q27.3;58275
10058208;Порок развития артеровенозный аневризматический прецеребральных сосудов;Q28.0;58276
10058209;Порок развития артеровенозный аневризматический прецеребральных сосудов без разрыва;Q28.0;58277
10058210;Порок развития бедра;Q68.8;58278
10058211;Порок развития большеберцовой кости;Q68.8;58279
10058212;Порок развития большой половой губы;Q52.7;58280
10058213;Порок развития влагалища;Q52.4;58281
10058214;Порок развития внутреннего уха;Q16.5;58282
10058215;Порок развития вульвы;Q52.7;58283
10058216;Порок развития глаза;Q15.9;58284
10058217;Порок развития глаза уточненный;Q15.8;58285
10058218;Порок развития глотки;Q38.8;58286
10058219;Порок развития головного мозга;Q04.9;58287
10058220;Порок развития головного мозга множественный;Q04.9;58288
10058221;Порок развития грудины;Q76.7;58289
10058222;Порок развития грудной клетки;Q67.8;58290
10058223;Порок развития девственной плевы;Q52.4;58291
10058224;Порок развития десны;Q38.6;58292
10058225;Порок развития диафрагмы;Q79.1;58293
10058226;Порок развития жаберной щели;Q18.2;58294
10058227;Порок развития желчного протока;Q44.5;58295
10058228;Порок развития желчного пути;Q44.5;58296
10058229;Порок развития запястья;Q68.8;58297
10058230;Порок развития извилин головного мозга;Q04.8;58298
10058231;Порок развития клапана сердца;Q24.8;58299
10058232;Порок развития клитора;Q52.6;58300
10058233;Порок развития ключицы;Q74.0;58301
10058234;Порок развития кожи;Q82.9;58302
10058235;Порок развития коленного сустава;Q68.2;58303
10058236;Порок развития копчика;Q76.4;58304
10058237;Порок развития кортиева органа;Q16.5;58305
10058238;Порок развития костей;Q75.8;58306
10058239;Порок развития костей грудной клетки;Q76.8;58307
10058240;Порок развития костей запястья;Q68.8;58308
10058241;Порок развития костей кисти;Q68.1;58309
10058242;Порок развития костей лица;Q75.8;58310
10058243;Порок развития костей черепа с гидроцефалией;Q03.9;58311
10058244;Порок развития костей черепа с гидроцефалией со spina bifida;Q05.4;58312
10058245;Порок развития костей черепа с микроцефалией;Q02;58313
10058246;Порок развития костей черепа с энцефалоцеле;Q01.9;58314
10058247;Порок развития кости;Q75.8;58315
10058248;Порок развития кости кисти;Q68.1;58316
10058249;Порок развития кости черепа с гидроцефалией;Q03.9;58317
10058250;Порок развития кости черепа с гидроцефалией со spina bifida;Q05.4;58318
10058251;Порок развития кости черепа с микроцефалией;Q02;58319
10058252;Порок развития кости черепа с энцефалоцеле;Q01.9;58320
10058253;Порок развития крестца;Q76.4;58321
10058254;Порок развития крестцово-подвздошного сочленения;Q74.2;58322
10058255;Порок развития легкого;Q33.9;58323
10058256;Порок развития локтевой кости;Q68.8;58324
10058257;Порок развития лопатки;Q74.0;58325
10058258;Порок развития лучевой кости;Q68.8;58326
10058259;Порок развития малоберцовой кости;Q68.8;58327
10058260;Порок развития малой половой губы;Q52.7;58328
10058261;Порок развития матки;Q51.9;58329
10058262;Порок развития маточной трубы;Q50.6;58330
10058263;Порок развития митрального клапана;Q23.9;58331
10058264;Порок развития митрального клапана уточненный;Q23.8;58332
10058265;Порок развития мозолистого тела;Q04.0;58333
10058266;Порок развития мозолистого тела врожденный;Q04.0;58334
10058267;Порок развития мочевого пузыря;Q64.7;58335
10058268;Порок развития мочевой системы;Q64.9;58336
10058269;Порок развития мочеиспускательного канала;Q64.7;58337
10058270;Порок развития мочеиспускательного канала, вызывающий непроходимость;Q64.3;58338
10058271;Порок развития мочеточника;Q62.8;58339
10058272;Порок развития мягких мозговых оболочек;Q07.9;58340
10058273;Порок развития мягких мозговых оболочек врожденный;Q07.9;58341
10058274;Порок развития мягких оболочек спинного мозга;Q06.9;58342
10058275;Порок развития надколенника;Q68.2;58343
10058276;Порок развития наружного уха;Q17.3;58344
10058277;Порок развития нерва;Q07.8;58345
10058278;Порок развития нервной системы;Q07.9;58346
10058279;Порок развития ноги;Q68.8;58347
10058280;Порок развития носа;Q30.8;58348
10058281;Порок развития общего желчного протока;Q44.5;58349
10058282;Порок развития общего протока;Q44.5;58350
10058283;Порок развития органа дыхания;Q34.9;58351
10058284;Порок развития органов дыхания;Q34.9;58352
10058285;Порок развития пальца кисти;Q68.1;58353
10058286;Порок развития пальца стопы;Q66.9;58354
10058287;Порок развития печени;Q44.7;58355
10058288;Порок развития печеночного протока;Q44.5;58356
10058289;Порок развития плаценты;O43.1;58357
10058290;Порок развития плечевого пояса;Q74.0;58358
10058291;Порок развития плечевой кости;Q68.8;58359
10058292;Порок развития поджелудочной железы;Q45.3;58360
10058293;Порок развития позвонка;Q76.4;58361
10058294;Порок развития позвоночника;Q76.4;58362
10058295;Порок развития половой губы;Q52.7;58363
10058296;Порок развития поясничного отдела позвоночника;Q76.4;58364
10058297;Порок развития поясничного отдела позвоночника с диспропорцией;O33.8;58365
10058298;Порок развития поясничного отдела позвоночника с диспропорцией, влияние на новорожденного;P03.1;58366
10058299;Порок развития поясничного отдела позвоночника с диспропорцией, влияние на плод;P03.1;58367
10058300;Порок развития поясничного отдела позвоночника с диспропорцией, вызывающий затрудненные роды;O65.0;58368
10058301;Порок развития пояснично-крестцового сочленения;Q76.4;58369
10058302;Порок развития пояснично-крестцовой области;Q76.4;58370
10058303;Порок развития пояснично-крестцовый;Q76.4;58371
10058304;Порок развития прецебральных сосудов;Q28.1;58372
10058305;Порок развития придатков глаза;Q15.8;58373
10058306;Порок развития пузырного протока;Q44.5;58374
10058307;Порок развития пупочного канатика;O69.8;58375
10058308;Порок развития пупочного канатика, влияние на новорожденного;P02.6;58376
10058309;Порок развития пупочного канатика, влияние на плод;P02.6;58377
10058310;Порок развития пупочного канатика, осложняющий родоразрешение;O69.8;58378
10058311;Порок развития раковины уха;Q17.3;58379
10058312;Порок развития рта;Q38.6;58380
10058313;Порок развития рта врожденный;Q38.6;58381
10058314;Порок развития селезенки;Q89.0;58382
10058315;Порок развития сердца;Q24.9;58383
10058316;Порок развития системы кровобращения;Q28.9;58384
10058317;Порок развития слуховой трубы;Q17.8;58385
10058318;Порок развития слуховых косточек;Q16.3;58386
10058319;Порок развития сосудистого сплетения;Q07.8;58387
10058320;Порок развития сосудистой оболочки глаза;Q14.3;58388
10058321;Порок развития сосудистой оболочки глаза врожденный;Q14.3;58389
10058322;Порок развития спинного мозга;Q06.9;58390
10058323;Порок развития спинного нервного корешка;Q07.8;58391
10058324;Порок развития створки клапана сердца;Q24.8;58392
10058325;Порок развития стенки грудной клетки;Q67.8;58393
10058326;Порок развития стопы;Q66.9;58394
10058327;Порок развития сустава запястья;Q68.8;58395
10058328;Порок развития трахеи;Q32.1;58396
10058329;Порок развития уточненный;Q89.8;58397
10058330;Порок развития уха;Q17.3;58398
10058331;Порок развития ушка желудочка сердца;Q24.8;58399
10058332;Порок развития ушка сердца;Q24.8;58400
10058333;Порок развития хрусталика глаза;Q12.8;58401
10058334;Порок развития хряща трахеи;Q32.1;58402
10058335;Порок развития центральной нервной системы;Q07.9;58403
10058336;Порок развития церебральный;Q04.9;58404
10058337;Порок развития церебральных мягких оболочек;Q04.8;58405
10058338;Порок развития шейки матки;Q51.9;58406
10058339;Порок развития языка;Q38.3;58407
10058340;Порок развития яйцевода;Q50.6;58408
10058341;Порок развития, затрагивающий несколько систем с уточненными изменениями скелета;Q87.5;58409
10058342;Порокератоз;Q82.8;58410
10058343;Пороцефалез;B88.8;58411
10058344;Порфирия;E80.2;58412
10058345;Порфирия вторичная;E80.2;58413
10058346;Порфирия кожная поздняя;E80.1;58414
10058347;Порфирия кожная поздняя наследственная;E80.1;58415
10058348;Порфирия кожная поздняя симптоматическая;E80.1;58416
10058349;Порфирия кожно-печеночного типа;E80.1;58417
10058350;Порфирия острая перемежающаяся;E80.2;58418
10058351;Порфирия острая перемежающаяся печеночная;E80.2;58419
10058352;Порфирия перемежающаяся;E80.2;58420
10058353;Порфирия приобретенная;E80.2;58421
10058354;Порфирия токсическая;E80.2;58422
10058355;Порфирия шведского типа;E80.2;58423
10058356;Порфирия эритропоэтическая;E80.0;58424
10058357;Порфирия эритропоэтическая врожденная;E80.0;58425
10058358;Порфирия эритропоэтическая наследственная;E80.0;58426
10058359;Порфирия южноафриканского типа;E80.2;58427
10058360;Порфирия, вызванная неправильным назначением лекарственного средства;T50.9;58428
10058361;Порфирия, вызванная передозировкой лекарственного средства;T50.9;58429
10058362;Порфирия, вызванная правильным введением соответствующего назначению лекарственного средства;E80.2;58430
10058363;Порфирия, вызванная приемом лекарственного средства по ошибке;T50.9;58431
10058364;Порэнцефалия;Q04.6;58432
10058365;Порэнцефалия в период развития;Q04.6;58433
10058366;Порэнцефалия врожденная;Q04.6;58434
10058367;Порэнцефалия приобретенная;G93.0;58435
10058368;Порэнцефалия, не относящаяся к периоду развития;G93.0;58436
10058369;Посада-Вернике болезнь;B38.7;58437
10058370;Поседение;L67.1;58438
10058371;Поседение врожденное;Q84.2;58439
10058372;Поседение преждевременное;L67.1;58440
10058373;Последствия абсцесса внутричерепного;G09;58441
10058374;Последствия абсцесса спинального;G09;58442
10058375;Последствия акушерских причин;O94;58443
10058376;Последствия акушерских причин осложнений беременности;O94;58444
10058377;Последствия акушерских причин осложнений в послеродовом периоде;O94;58445
10058378;Последствия акушерских причин осложнения беременности;O94;58446
10058379;Последствия акушерских причин осложнения в послеродовом периоде;O94;58447
10058380;Последствия акушерских причин, приведшие к смерти женщины через год или более после родоразрешения;O97.0;58448
10058381;Последствия акушерского вмешательства;O97.0;58449
10058382;Последствия акушерской причины осложнения беременности, приведшие к смерти женщины через год или более после родоразрешения;O97.0;58450
10058383;Последствия акушерской причины осложнения в послеродовом периоде, приведшие к смерти женщины через год или более после родоразрешения;O97.0;58451
10058384;Последствия акушерской причины осложнения деторождения, приведшие к смерти женщины через год или более после родоразрешения;O97.0;58452
10058385;Последствия акушерской причины осложнения родоразрешения, приведшие к смерти женщины через год или более после родоразрешения;O97.0;58453
10058386;Последствия ампутации послеоперационной;T98.3;58454
10058387;Последствия ампутации травматической;T94.1;58455
10058388;Последствия ампутации травматической верхней конечности;T92.6;58456
10058389;Последствия ампутации травматической головы;T90.8;58457
10058390;Последствия ампутации травматической лица;T90.8;58458
10058391;Последствия ампутации травматической множественных областей тела;T94.0;58459
10058392;Последствия ампутации травматической нижней конечности;T93.6;58460
10058393;Последствия ампутации травматической туловища;T91.8;58461
10058394;Последствия ампутации травматической части головы;T90.8;58462
10058395;Последствия вирусного гепатита;B94.2;58463
10058396;Последствия вирусного энцефалита;B94.1;58464
10058397;Последствия вирусного энцефаломиелита;B94.1;58465
10058398;Последствия воздействия внешних причин;T98.1;58466
10058399;Последствия вывиха;T94.1;58467
10058400;Последствия вывиха в множественных областях;T94.0;58468
10058401;Последствия вывиха в области грудной клетки;T91.8;58469
10058402;Последствия вывиха в области таза;T91.8;58470
10058403;Последствия вывиха в области туловища;T91.8;58471
10058404;Последствия вывиха в области шеи;T91.8;58472
10058405;Последствия вывиха в поясничной области;T91.8;58473
10058406;Последствия вывиха верхней конечности;T92.3;58474
10058407;Последствия вывиха нижней конечности;T93.3;58475
10058408;Последствия вывиха челюсти;T90.8;58476
10058409;Последствия другой причины;G09;58477
10058410;Последствия инородного тела, находящегося в естественном отверстии;T98.0;58478
10058411;Последствия инсульта;I69.4;58479
10058412;Последствия инфаркта мозгового;I69.3;58480
10058413;Последствия инфекции гнойной;G09;58481
10058414;Последствия инфекции гнойной внутричерепной;G09;58482
10058415;Последствия инфекции гнойной интраспинальной;G09;58483
10058416;Последствия инфекционной болезни;B94.9;58484
10058417;Последствия инфекционной болезни уточненной;B94.8;58485
10058418;Последствия кровотечения внутримозгового;I69.1;58486
10058419;Последствия кровотечения внутричерепного нетравматического;I69.2;58487
10058420;Последствия легочного туберкулеза;B90.9;58488
10058421;Последствия лепры;B92;58489
10058422;Последствия менингита бактериального;G09;58490
10058423;Последствия миелита;G09;58491
10058424;Последствия недоедания с белковой недостаточностью;E64.0;58492
10058425;Последствия недостаточности витамина;E64.8;58493
10058426;Последствия недостаточности витамина A;E64.1;58494
