 хромосом амниотической жидкости;R89.8;20571
10029739;Малярийная лихорадка, вызванная Plasmodium vivax и Plasmodium falciparum неуточненная;B50.9;29790
10029740;Малярийная лихорадка, вызванная Plasmodium vivax и Plasmodium falciparum с церебральными осложнениями;B50.0;29791
10029741;Малярийная лихорадка, вызванная Plasmodium обезьяньим;B53.1;29792
10029742;Малярийная лихорадка, вызванная плазмодием обезьяньим и Plasmodium malariae без осложнений;B52.9;29793
10029743;Малярийная лихорадка, вызванная плазмодием обезьяньим и Plasmodium malariae с другими осложнениями;B52.8;29794
10029744;Малярийная лихорадка, вызванная плазмодием обезьяньим и Plasmodium malariae с нефропатией;B52.0;29795
10029745;Малярийная лихорадка, вызванная плазмодием обезьяньим, Plasmodium malariae и vivax без осложнений;B51.9;29796
10029746;Малярийная лихорадка, вызванная плазмодием обезьяньим, Plasmodium malariae и vivax осложненная разрывом селезенки;B51.0;29797
10029747;Малярийная лихорадка, вызванная плазмодием обезьяньим, Plasmodium malariae и vivax с другими осложнениями;B51.8;29798
10029748;Малярийная лихорадка, вызванная плазмодием обезьяньим, Plasmodium malariae, vivax и falciparum другая тяжелая;B50.8;29799
10029749;Малярийная лихорадка, вызванная плазмодием обезьяньим, Plasmodium malariae, vivax и falciparum неуточненная;B50.9;29800
10029750;Малярийная лихорадка, вызванная плазмодием обезьяньим, Plasmodium malariae, vivax и falciparum с церебральными осложнениями;B50.0;29801
10029751;Малярийная лихорадка, вызванная плазмодием, Plasmodium ovale;B53.0;29802
10029752;Малярийная лихорадка, осложняющая беременность;O98.6;29803
10029753;Малярийная лихорадка, осложняющая послеродовой период;O98.6;29804
10029754;Малярийная лихорадка, осложняющая роды;O98.6;29805
10029755;Малярия;B54;29806
10029756;Малярия c осложнениями;B52.8;29807
10029757;Малярия c поражением клубочков;B52.0;29808
10029758;Малярия falciparum;D50.9;29809
10029759;Малярия falciparum с осложнениями;B50.8;29810
10029760;Малярия falciparum с осложнениями церебральными;B50.0;29811
10029761;Малярия falciparum тяжелая;B50.8;29812
10029762;Малярия ovale;B53.0;29813
10029763;Малярия vivax;B51.9;29814
10029764;Малярия vivax c осложнениями;B51.8;29815
10029765;Малярия vivax c разрывом селезенки;B51.0;29816
10029766;Малярия алгидная;B50.9;29817
10029767;Малярия врожденная;P37.4;29818
10029768;Малярия врожденная falciparum;P37.3;29819
10029769;Малярия диагностированная клинически;B54;29820
10029770;Малярия диагностированная клинически без паразитологического подтверждения;B54;29821
10029771;Малярия злокачественная;B50.9;29822
10029772;Малярия злокачественная с ежедневными приступами;B50.9;29823
10029773;Малярия злокачественная трехдневная;B50.9;29824
10029774;Малярия летне-осенняя;B50.9;29825
10029775;Малярия паразитологически подтвержденная;B53.8;29826
10029776;Малярия перемежающаяся;B54;29827
10029777;Малярия продолжающаяся;B50.9;29828
10029778;Малярия рецидивирующая;B54;29829
10029779;Малярия с продолжающейся лихорадкой;B50.9;29830
10029780;Малярия субтерциана;B50.9;29831
10029781;Малярия трехдневная;B51.9;29832
10029782;Малярия трехдневная доброкачественная;B51.9;29833
10029783;Малярия трехдневная злокачественная;B50.9;29834
10029784;Малярия тропическая;B50.9;29835
10029785;Малярия уточненного типа;B53.8;29836
10029786;Малярия уточненного типа паразитологически подтвержденная;B53.8;29837
10029787;Малярия церебральная;B50.0;29838
10029788;Малярия четырехдневная;B52.9;29839
10029789;Малярия, вызванная Plasmodium malariae;B52.9;29840
10029790;Малярия, вызванная Plasmodium malariae и Plasmodium falciparum другая тяжелая;B50.8;29841
10029791;Малярия, вызванная Plasmodium malariae и Plasmodium falciparum неуточненная;B50.9;29842
10029792;Малярия, вызванная Plasmodium malariae и Plasmodium falciparum с церебральными осложнениями;B50.0;29843
10029793;Малярия, вызванная Plasmodium malariae и Plasmodium vivax без осложнений;B51.9;29844
10029794;Малярия, вызванная Plasmodium malariae и Plasmodium vivax осложненная разрывом селезенки;B51.0;29845
10029795;Малярия, вызванная Plasmodium malariae и Plasmodium vivax с другими осложнениями;B51.8;29846
10029796;Малярия, вызванная Plasmodium malariae, c поражением клубочков;B52.0;29847
10029797;Малярия, вызванная Plasmodium malariae, Plasmodium falciparum и vivax другая тяжелая;B50.8;29848
10029798;Малярия, вызванная Plasmodium malariae, Plasmodium falciparum и vivax неуточненная;B50.9;29849
10029799;Малярия, вызванная Plasmodium malariae, Plasmodium falciparum и vivax с церебральными осложнениями;B50.0;29850
10029800;Малярия, вызванная Plasmodium malariae, Plasmodium vivax и falciparum другая тяжелая;B50.8;29851
10029801;Малярия, вызванная Plasmodium malariae, Plasmodium vivax и falciparum неуточненная;B50.9;29852
10029802;Малярия, вызванная Plasmodium malariae, Plasmodium vivax и falciparum с церебральными осложнениями;B50.0;29853
10029803;Малярия, вызванная Plasmodium ovale и Plasmodium malariae без осложнений;B52.9;29854
10029804;Малярия, вызванная Plasmodium ovale и Plasmodium malariae и vivax без осложнений;B51.9;29855
10029805;Малярия, вызванная Plasmodium ovale и Plasmodium malariae и vivax осложненная разрывом селезенки;B51.0;29856
10029806;Малярия, вызванная Plasmodium ovale и Plasmodium malariae и vivax с другими осложнениями;B51.8;29857
10029807;Малярия, вызванная Plasmodium ovale и Plasmodium malariae с другими осложнениями;B52.8;29858
10029808;Малярия, вызванная Plasmodium ovale и Plasmodium malariae с нефропатией;B52.0;29859
10029809;Малярия, вызванная Plasmodium ovale, Plasmodium malariae, vivax и falciparum другая тяжелая;B50.8;29860
10029810;Малярия, вызванная Plasmodium ovale, Plasmodium malariae, vivax и falciparum неуточненная;B50.9;29861
10029811;Малярия, вызванная Plasmodium ovale, Plasmodium malariae, vivax и falciparum с церебральными осложнениями;B50.0;29862
10029812;Малярия, вызванная Plasmodium vivax;B51.9;29863
10029813;Малярия, вызванная Plasmodium vivax и Plasmodium falciparum другая тяжелая;B50.8;29864
10029814;Малярия, вызванная Plasmodium vivax и Plasmodium falciparum неуточненная;B50.9;29865
10029815;Малярия, вызванная Plasmodium vivax и Plasmodium falciparum с церебральными осложнениями;B50.0;29866
10029816;Малярия, вызванная Plasmodium обезьяньим;B53.1;29867
10029817;Малярия, вызванная плазмодием обезьяньим и Plasmodium malariae без осложнений;B52.9;29868
10029818;Малярия, вызванная плазмодием обезьяньим и Plasmodium malariae с другими осложнениями;B52.8;29869
10029819;Малярия, вызванная плазмодием обезьяньим и Plasmodium malariae с нефропатией;B52.0;29870
10029820;Малярия, вызванная плазмодием обезьяньим, Plasmodium malariae и vivax без осложнений;B51.9;29871
10029821;Малярия, вызванная плазмодием обезьяньим, Plasmodium malariae и vivax осложненная разрывом селезенки;B51.0;29872
10029822;Малярия, вызванная плазмодием обезьяньим, Plasmodium malariae и vivax с другими осложнениями;B51.8;29873
10029823;Малярия, вызванная плазмодием обезьяньим, Plasmodium malariae, vivax и falciparum другая тяжелая;B50.8;29874
10029824;Малярия, вызванная плазмодием обезьяньим, Plasmodium malariae, vivax и falciparum неуточненная;B50.9;29875
10029825;Малярия, вызванная плазмодием обезьяньим, Plasmodium malariae, vivax и falciparum с церебральными осложнениями;B50.0;29876
10029826;Малярия, вызванная плазмодием, Plasmodium ovale;B53.0;29877
10029827;Малярия, осложняющая беременность;O98.6;29878
10029828;Малярия, осложняющая послеродовой период;O98.6;29879
10029829;Малярия, осложняющая роды;O98.6;29880
10029830;Малярия, рецидивирующая с болотной лихорадкой;B50.8;29881
10029831;Малярия, рецидивирующая с гемоглобинурией;B50.8;29882
10029832;Малярия, рецидивирующая с гемоглобинурийной болотной лихорадкой;B50.8;29883
10029833;Малярия, рецидивирующая с желчной болотной лихорадкой;B50.8;29884
10029834;Маляция кости;M83.9;29885
10029835;Маляция кости у взрослых;M83.9;29886
10029836;Маляция кости юношеская;E55.0;29887
10029837;Маммилит;N61;29888
10029838;Маммилит послеродовой;O91.0;29889
10029839;Маммограмма;Z12.3;29890
10029840;Маммограмма исследование;Z12.3;29891
10029841;Маммограмма рутинная;Z01.6;29892
10029842;Мания;F30.9;29893
10029843;Мания алкогольная;F10.5;29894
10029844;Мания алкогольная острая;F10.5;29895
10029845;Мания алкогольная хроническая;F10.5;29896
10029846;Мания без психотических симптомов;F30.1;29897
10029847;Мания Белла;F30.8;29898
10029848;Мания истерическая;F44.8;29899
10029849;Мания монополярная;F30.9;29900
10029850;Мания послеродовая;F30.8;29901
10029851;Мания рецидивирующая;F31.8;29902
10029852;Мания с психотическими симптомами;F30.2;29903
10029853;Мания хроническая;F31.8;29904
10029854;Мания хроническая рецидивирующая;F31.8;29905
10029855;Маннозидоз;E77.1;29906
10029856;Мансона болезнь;B65.1;29907
10029857;Мансона пиоз;L00;29908
10029858;Мансона шистосомоз;B65.1;29909
10029859;Мансонеллез;B74.4;29910
10029860;Маразм;E41;29911
10029861;Маразм кишечный;E41;29912
10029862;Маразм старческий;R54;29913
10029863;Маразм туберкулезный;A16.9;29914
10029864;Маразм, вызванный нарушением питания;E41;29915
10029865;Маразм, вызванный недостаточностью питания;E41;29916
10029866;Маразм, связанный с питанием;E41;29917
10029867;Мари болезнь;E22.0;29918
10029868;Мари болезнь акромегалия;E22.0;29919
10029869;Мари мозжечковая атаксия;G11.2;29920
10029870;Мари мозжечковая атаксия поздняя;G11.2;29921
10029871;Мари синдром;E22.0;29922
10029872;Мари синдром акромегалия;E22.0;29923
10029873;Мари-Бамбергера болезнь;M89.4;29924
10029874;Мариона болезнь;N32.0;29925
10029875;Мари-Шарко-Тута невропатическая атрофия мышц;G60.0;29926
10029877;Мари-Штрюмпеля артрит в области затылка, первого и второго шейных позвонков;M45.1;29927
10029878;Мари-Штрюмпеля артрит в области шеи;M45.2;29928
10029880;Мари-Штрюмпеля артрит грудного отдела;M45.4;29929
10029884;Мари-Штрюмпеля артрит крестцового и крестцово-копчикового отдела;M45.8;29930
10029876;Мари-Штрюмпеля артрит множественных отделов позвоночника;M45.0;29931
10029885;Мари-Штрюмпеля артрит неуточненной локализации;M45.9;29932
10029882;Мари-Штрюмпеля артрит поясничного отдела;M45.6;29933
10029881;Мари-Штрюмпеля артрит пояснично-грудного отдела;M45.5;29934
10029883;Мари-Штрюмпеля артрит пояснично-крестцового отдела;M45.7;29935
10029879;Мари-Штрюмпеля артрит шейно-грудного отдела;M45.3;29936
10029887;Мари-Штрюмпеля болезнь в области затылка, первого и второго шейных позвонков;M45.1;29937
10029888;Мари-Штрюмпеля болезнь в области шеи;M45.2;29938
10029890;Мари-Штрюмпеля болезнь грудного отдела;M45.4;29939
10029894;Мари-Штрюмпеля болезнь крестцового и крестцово-копчикового отдела;M45.8;29940
10029886;Мари-Штрюмпеля болезнь множественных отделов позвоночника;M45.0;29941
10029895;Мари-Штрюмпеля болезнь неуточненной локализации;M45.9;29942
10029892;Мари-Штрюмпеля болезнь поясничного отдела;M45.6;29943
10029891;Мари-Штрюмпеля болезнь пояснично-грудного отдела;M45.5;29944
10029893;Мари-Штрюмпеля болезнь пояснично-крестцового отдела;M45.7;29945
10029889;Мари-Штрюмпеля болезнь шейно-грудного отдела;M45.3;29946
10029897;Мари-Штрюмпеля спондилит в области затылка, первого и второго шейных позвонков;M45.1;29947
10029898;Мари-Штрюмпеля спондилит в области шеи;M45.2;29948
10029900;Мари-Штрюмпеля спондилит грудного отдела;M45.4;29949
10029904;Мари-Штрюмпеля спондилит крестцового и крестцово-копчикового отдела;M45.8;29950
10029896;Мари-Штрюмпеля спондилит множественных отделов позвоночника;M45.0;29951
10029905;Мари-Штрюмпеля спондилит неуточненной локализации;M45.9;29952
10029902;Мари-Штрюмпеля спондилит поясничного отдела;M45.6;29953
10029901;Мари-Штрюмпеля спондилит пояснично-грудного отдела;M45.5;29954
10029903;Мари-Штрюмпеля спондилит пояснично-крестцового отдела;M45.7;29955
10029899;Мари-Штрюмпеля спондилит шейно-грудного отдела;M45.3;29956
10029906;Маркезани -Вейля синдром;Q87.0;29957
10029907;Маркезани синдром;Q87.0;29958
10029908;Маркер гетерохроматина;Q95.4;29959
10029909;Маркиафавы болезнь;G37.1;29960
10029910;Маркиафавы синдром;G37.1;29961
10029911;Маркиафавы-Биньями болезнь;G37.1;29962
10029912;Маркиафавы-Биньями синдром;G37.1;29963
10029913;Маркиафавы-Микели синдром;D59.5;29964
10029914;Маркуса Гунна синдром;Q07.8;29965
10029915;Марото-Лами синдром;E76.2;29966
10029916;Марото-Лами синдром легкая форма;E76.2;29967
10029917;Марото-Лами синдром тяжелый;E76.2;29968
10029918;Марфана синдром;Q87.4;29969
10029919;Марфана-Дени синдром сифилитический;A50.4;29970
10029920;Маршевая гемоглобинурия;D59.6;29971
10029921;Маршевый перелом;S92.3;29972
10029922;Маршевый перелом костей плюсны;S92.3;29973
10029923;Маскулинизация у женщин при наличии гиперплазии надпочечников;E25.0;29974
10029924;Маскулинизация у женщин при наличии гиперплазии надпочечников врожденная;E25.0;29975
10029925;Масса тела 1000-2499 грамм при рождении;P07.1;29976
10029926;Масса тела меньше чем 1000 грамм при рождении;P07.0;29977
10029927;Масса тела низкая при рождении;P07.1;29978
10029928;Масса тела чрезмерно низкая;P07.0;29979
10029929;Массы тела потеря;R63.4;29980
10029930;Массы тела потеря анормальная;R63.4;29981
10029931;Массы тела потеря, причина неизвестна;R63.4;29982
10029932;Массы тела сниженное увеличение при беременности;O26.1;29983
10029933;Массы тела увеличение;R63.5;29984
10029934;Массы тела увеличение анормальное;R63.5;29985
10029935;Массы тела увеличение при беременности;O26.0;29986
10029936;Массы тела увеличение чрезмерное;R63.5;29987
10029937;Масталгия;N64.4;29988
10029938;Масталгия психогенная;F45.4;29989
10029939;Мастерса-Аллена синдром;N83.8;29990
10029940;Мастит;N61;29991
10029941;Мастит гестационный;O91.2;29992
10029942;Мастит гестационный гнойный;O91.1;29993
10029943;Мастит гестационный интерстициальный;O91.2;29994
10029944;Мастит гестационный негнойный;O91.2;29995
10029945;Мастит гестационный паренхиматозный;O91.2;29996
10029946;Мастит интерстициальный;O91.2;29997
10029947;Мастит инфекционный;N61;29998
10029948;Мастит инфекционный у новорожденного;P39.0;29999
10029949;Мастит кистозный;N60.1;30000
10029950;Мастит кистозный с пролиферацией эпителия;N60.3;30001
10029951;Мастит кистозный типа Шиммельбуша;N60.1;30002
10029952;Мастит непослеродовой;N61;30003
10029953;Мастит новорожденного;P83.4;30004
10029954;Мастит новорожденного инфекционный;P39.0;30005
10029955;Мастит новорожденного неинфекционный;P83.4;30006
10029956;Мастит острый;N61;30007
10029957;Мастит подострый;N61;30008
10029958;Мастит послеродовой;O91.2;30009
10029959;Мастит послеродовой гнойный;O91.1;30010
10029960;Мастит послеродовой интерстициальный;O91.2;30011
10029961;Мастит послеродовой негнойный;O91.2;30012
10029962;Мастит послеродовой паренхиматозный;O91.2;30013
10029963;Мастит хронический;N60.1;30014
10029964;Мастит хронический кистозный;N60.1;30015
10029965;Мастит хронический с пролиферацией эпителия;N60.3;30016
10029966;Мастодиния;N64.4;30017
10029967;Мастодиния психогенная;F45.4;30018
10029968;Мастоидалгия;H92.0;30019
10029969;Мастоидит;H70.9;30020
10029970;Мастоидит адгезивный;H70.9;30021
10029971;Мастоидит геморрагический;H70.9;30022
10029972;Мастоидит гнойный;H70.9;30023
10029973;Мастоидит острый;H70.0;30024
10029974;Мастоидит подострый;H70.0;30025
10029975;Мастоидит туберкулезный;A18.0;30026
10029976;Мастоидит уточненный;H70.8;30027
10029977;Мастоидит хронический;H70.1;30028
10029978;Мастоидит хронический некротический;H70.1;30029
10029979;Мастоидит хронический рецидивирующий;H70.1;30030
10029980;Мастоидит, вызванный инфекционной болезнью;B99;30031
10029981;Мастоидит, вызванный паразитарной болезнью;B89;30032
10029982;Мастоидит, вызванный туберкулезом;A18.0;30033
10029983;Мастопатия;N64.9;30034
10029984;Мастопатия диффузная кистозная;N60.1;30035
10029985;Мастопатия диффузная кистозная с пролиферацией эпителия;N60.3;30036
10029986;Мастопатия кистозная;N60.1;30037
10029987;Мастопатия кистозная диффузная;N60.1;30038
10029988;Мастопатия кистозная с пролиферацией эпителия;N60.3;30039
10029989;Мастопатия кистозная хроническая;N60.1;30040
10029990;Мастопатия овариального происхождения;N64.8;30041
10029991;Мастопатия с пролиферацией эпителия;N60.3;30042
10029992;Мастопатия хроническая кистозная;N60.1;30043
10029993;Мастопатия эстрогенная;N64.8;30044
10029994;Мастоплазия;N62;30045
10029995;Мастоцитоз;Q82.2;30046
10029996;Мастоцитоз злокачественный;C96.2;30047
10029997;Мастоцитома;D47.0;30048
10029998;Мастоцитома злокачественная;C96.2;30049
10029999;Мастурбация;F98.8;30050
10030000;Мастурбация чрезмерная;F98.8;30051
10030001;Матери аналгезия, влияние на новорожденного;P04.0;30052
10030002;Матери анестезия, влияние на плод;P04.0;30053
10030003;Матери болезнь органов кровообращения, влияние на новорожденного;P00.3;30054
10030004;Матери болезнь органов кровообращения, влияние на плод;P00.3;30055
10030005;Матери болезнь, влияние на новорожденного;P00.9;30056
10030006;Матери болезнь, влияние на плод;P00.9;30057
10030007;Матери влагалище разделенное перегородкой, влияние на новорожденного;P03.8;30058
10030008;Матери влагалище разделенное перегородкой, влияние на плод;P03.8;30059
10030009;Матери врожденная болезнь сердца, влияние на новорожденного;P00.3;30060
10030010;Матери врожденная болезнь сердца, влияние на плод;P00.3;30061
10030011;Матери гепатит злокачественный, влияние на новорожденного;P00.8;30062
10030012;Матери гепатит злокачественный, влияние на плод;P00.8;30063
10030013;Матери гепатит острый, влияние на новорожденного;P00.2;30064
10030014;Матери гепатит острый, влияние на плод;P00.2;30065
10030015;Матери гепатит подострый, влияние на новорожденного;P00.0;30066
10030016;Матери гепатит подострый, влияние на плод;P00.2;30067
10030017;Матери гепатит, влияние на новорожденного;P00.8;30068
10030018;Матери гепатит, влияние на плод;P00.8;30069
10030019;Матери гипертензия, влияние на новорожденного;P00.0;30070
10030020;Матери гипертензия, влияние на плод;P00.0;30071
10030021;Матери гломерулярные болезни, влияние на новорожденного;P00.1;30072
10030022;Матери гломерулярные болезни, влияние на плод;P00.1;30073
10030023;Матери грипп, влияние на новорожденного;P00.2;30074
10030024;Матери грипп, влияние на плод;P00.2;30075
10030025;Матери грипп, проявление гриппа у ребенка;P35.8;30076
10030026;Матери инфекции половых путей, влияние на новорожденного;P00.8;30077
10030027;Матери инфекции половых путей, влияние на плод;P00.8;30078
10030028;Матери инфекционные и паразитарные болезни, влияние на новорожденного;P00.2;30079
10030029;Матери инфекционные и паразитарные болезни, влияние на плод;P00.2;30080
10030030;Матери кортикальный некроз почек, влияние на новорожденного;P00.1;30081
10030031;Матери кортикальный некроз почек, влияние на плод;P00.1;30082
10030032;Матери краснуха, влияние на новорожденного;P00.2;30083
10030033;Матери краснуха, влияние на плод;P00.2;30084
10030034;Матери краснуха, проявление краснухи у плода;P35.0;30085
10030035;Матери краснуха, проявление краснухи у ребенка;P35.0;30086
10030036;Матери кровотечение, связанное с беременностью, влияние на новорожденного;P02.1;30087
10030037;Матери кровотечение, связанное с беременностью, влияние на плод;P02.1;30088
10030038;Матери лечение цитотоксическим лекарственным средством, влияние на новорожденного;P04.1;30089
10030039;Матери лечение цитотоксическим лекарственным средством, влияние на плод;P04.1;30090
10030040;Матери малярия, влияние на новорожденного;P00.2;30091
10030041;Матери малярия, влияние на плод;P00.2;30092
10030042;Матери малярия, проявление малярии falciparum у плода;P37.3;30093
10030043;Матери малярия, проявление малярии falciparum у ребенка;P37.3;30094
10030044;Матери малярия, проявление малярии у плода;P37.4;30095
10030045;Матери малярия, проявление малярии у ребенка;P37.4;30096
10030046;Матери недостаточность питания, влияние на новорожденного;P00.4;30097
10030047;Матери недостаточность питания, влияние на плод;P00.4;30098
10030048;Матери некроз печени, влияние на новорожденного;P00.8;30099
10030049;Матери некроз печени, влияние на плод;P00.8;30100
10030050;Матери неукротимая рвота беременных, влияние на новорожденного;P01.8;30101
10030051;Матери неукротимая рвота беременных, влияние на плод;P01.8;30102
10030052;Матери неукротимая рвота, влияние на новорожденного;P01.8;30103
10030053;Матери неукротимая рвота, влияние на плод;P01.8;30104
10030054;Матери нефрит, влияние на новорожденного;P00.1;30105
10030055;Матери нефрит, влияние на плод;P00.1;30106
10030056;Матери нефроз, влияние на новорожденного;P00.1;30107
10030057;Матери нефроз, влияние на плод;P00.1;30108
10030058;Матери нефротический синдром, влияние на новорожденного;P00.1;30109
10030059;Матери нефротический синдром, влияние на плод;P00.1;30110
10030060;Матери операция, не связанная с текущей беременностью, влияние на новорожденного;P00.6;30111
10030061;Матери операция, не связанная с текущей беременностью, влияние на плод;P00.6;30112
10030062;Матери опухоль влагалища, влияние на новорожденного;O34.6;30113
10030063;Матери опухоль влагалища, влияние на плод;O34.6;30114
10030064;Матери осложнение беременности, влияние на новорожденного;P01.9;30115
10030065;Матери осложнение беременности, влияние на плод;P01.9;30116
10030066;Матери острая желтая атрофия печени, влияние на новорожденного;P00.8;30117
10030067;Матери острая желтая атрофия печени, влияние на плод;P00.8;30118
10030068;Матери патология мочевых путей, влияние на новорожденного;P00.1;30119
10030069;Матери патология мочевых путей, влияние на плод;P00.1;30120
10030070;Матери переход химического вещества через плаценту, влияние на новорожденного;P04.8;30121
10030071;Матери переход химического вещества через плаценту, влияние на плод;P04.8;30122
10030072;Матери пиелит, влияние на новорожденного;P00.1;30123
10030073;Матери пиелит, влияние на плод;P00.1;30124
10030074;Матери пиелонефрит, влияние на новорожденного;P00.1;30125
10030075;Матери пиелонефрит, влияние на плод;P00.1;30126
10030076;Матери потеря крови, влияние на новорожденного;P02.1;30127
10030077;Матери потеря крови, влияние на плод;P02.1;30128
10030078;Матери потеря крови, связанная с беременностью, влияние на новорожденного;P02.1;30129
10030079;Матери потеря крови, связанная с беременностью, влияние на плод;P02.1;30130
10030080;Матери почечная болезнь, влияние на новорожденного;P00.1;30131
10030081;Матери почечная болезнь, влияние на плод;P00.1;30132
10030082;Матери почечная недостаточность, влияние на новорожденного;P00.1;30133
10030083;Матери почечная недостаточность, влияние на плод;P00.1;30134
10030084;Матери предшествующее хирургическое вмешательство на матке, влияние на новорожденного;P03.8;30135
10030085;Матери предшествующее хирургическое вмешательство на матке, влияние на плод;P03.8;30136
10030086;Матери предшествующее хирургическое вмешательство на тазовых органах, влияние на новорожденного;P03.8;30137
10030087;Матери предшествующее хирургическое вмешательство на тазовых органах, влияние на плод;P03.8;30138
10030088;Матери преэклампсия, влияние на новорожденного;P00.0;30139
10030089;Матери преэклампсия, влияние на плод;P00.0;30140
10030090;Матери протеинурия, влияние на новорожденного;P00.1;30141
10030091;Матери протеинурия, влияние на плод;P00.1;30142
10030092;Матери расстройство питания, влияние на новорожденного;P00.4;30143
10030093;Матери расстройство питания, влияние на плод;P00.4;30144
10030094;Матери рвота злокачественная, влияние на новорожденного;P01.8;30145
10030095;Матери рвота злокачественная, влияние на плод;P01.8;30146
10030096;Матери рвота патологическая, влияние на новорожденного;P01.8;30147
10030097;Матери рвота патологическая, влияние на плод;P01.8;30148
10030098;Матери рвота персистирующая, влияние на новорожденного;P01.8;30149
10030099;Матери рвота персистирующая, влияние на плод;P01.8;30150
10030100;Матери рвота, влияние на новорожденного;P01.8;30151
10030101;Матери рвота, влияние на плод;P01.8;30152
10030102;Матери ревматическая болезнь сердца хроническая, влияние на новорожденного;P00.3;30153
10030103;Матери ревматическая болезнь сердца хроническая, влияние на плод;P00.3;30154
10030104;Матери ревматическая болезнь сердца, влияние на новорожденного;P00.3;30155
10030105;Матери ревматическая болезнь сердца, влияние на плод;P00.3;30156
10030106;Матери респираторное заболевание, влияние на новорожденного;P00.3;30157
10030107;Матери респираторное заболевание, влияние на плод;P00.3;30158
10030108;Матери сахарный диабет, влияние на новорожденного;P70.1;30159
10030109;Матери сахарный диабет, влияние на плод;P70.1;30160
10030110;Матери сифилис, влияние на новорожденного;P00.2;30161
10030111;Матери сифилис, влияние на плод;P00.2;30162
10030112;Матери сифилис, проявление сифилиса у плода;A50.0;30163
10030113;Матери сифилис, проявление сифилиса у ребенка;A50.0;30164
10030114;Матери смерть, влияние на новорожденного;P01.6;30165
10030115;Матери смерть, влияние на плод;P01.6;30166
10030116;Матери состояние вследствие воздействия химических веществ, содержащихся в окружающей среде, влияние на новорожденного;P04.6;30167
10030117;Матери состояние вследствие воздействия химических веществ, содержащихся в окружающей среде, влияние на плод;P04.6;30168
10030118;Матери состояние вследствие вредного воздействия, передающееся через грудное молоко , влияние на новорожденного;P04.9;30169
10030119;Матери состояние вследствие вредного воздействия, передающееся через грудное молоко уточненное, влияние на новорожденного;P04.8;30170
10030120;Матери состояние вследствие вредного воздействия, передающееся через плаценту уточненное, влияние на плод;P04.8;30171
10030121;Матери состояние, влияние на новорожденного;P00.9;30172
10030122;Матери состояние, влияние на плод;P00.9;30173
10030123;Матери стеноз влагалища, влияние на новорожденного;P03.8;30174
10030124;Матери стеноз влагалища, влияние на плод;P03.8;30175
10030125;Матери стриктура влагалища, влияние на новорожденного;P03.8;30176
10030126;Матери стриктура влагалища, влияние на плод;P03.8;30177
10030127;Матери токсемия беременных, влияние на новорожденного;P00.0;30178
10030128;Матери токсемия беременных, влияние на плод;P00.0;30179
10030129;Матери токсемия, влияние на новорожденного;P00.0;30180
10030130;Матери токсемия, влияние на плод;P00.0;30181
10030131;Матери токсоплазмоз, влияние на новорожденного;P00.2;30182
10030132;Матери токсоплазмоз, влияние на плод;P00.2;30183
10030133;Матери токсоплазмоз, проявление токсоплазмоза острого у плода;P37.1;30184
10030134;Матери токсоплазмоз, проявление токсоплазмоза острого у ребенка;P37.1;30185
10030135;Матери токсоплазмоз, проявление токсоплазмоза подострого у плода;P37.1;30186
10030136;Матери токсоплазмоз, проявление токсоплазмоза подострого у ребенка;P37.1;30187
10030137;Матери токсоплазмоз, проявление токсоплазмоза у плода;P37.1;30188
10030138;Матери токсоплазмоз, проявление токсоплазмоза у ребенка;P37.1;30189
10030139;Матери токсоплазмоз, проявление токсоплазмоза хронического у плода;P37.1;30190
10030140;Матери токсоплазмоз, проявление токсоплазмоза хронического у ребенка;P37.1;30191
10030141;Матери травма, влияние на новорожденного;P00.5;30192
10030142;Матери травма, влияние на плод;P00.5;30193
10030143;Матери тромбофлебит, влияние на новорожденного;P00.3;30194
10030144;Матери тромбофлебит, влияние на плод;P00.3;30195
10030145;Матери уремия, влияние на новорожденного;P00.1;30196
10030146;Матери уремия, влияние на плод;P00.1;30197
10030147;Матери химиотерапия рака, влияние на новорожденного;P04.1;30198
10030148;Матери химиотерапия рака, влияние на плод;P04.1;30199
10030149;Матери хирургическая операция на матке, не связанная с текущей беременностью, влияние на новорожденного;P03.8;30200
10030150;Матери хирургическая операция на матке, не связанная с текущей беременностью, влияние на плод;P03.8;30201
10030151;Матери хирургическая операция на тазовых органах, не связанная с текущей беременностью, влияние на новорожденного;P00.6;30202
10030152;Матери хирургическая операция на тазовых органах, не связанная с текущей беременностью, влияние на плод;P00.6;30203
10030153;Матери хирургическая операция, не связанная с текущей беременностью, влияние на новорожденного;P00.6;30204
10030154;Матери хирургическая операция, не связанная с текущей беременностью, влияние на плод;P00.6;30205
10030155;Матери хориоамнионит, влияние на новорожденного;P02.7;30206
10030156;Матери хориоамнионит, влияние на плод;P02.7;30207
10030157;Матери эклампсия, влияние на новорожденного;P00.0;30208
10030158;Матери эклампсия, влияние на плод;P00.0;30209
10030159;Материсостояние вследствие вредного воздействия, передающееся через плаценту, влияние на плод;P04.9;30210
10030160;Матерью употребление алкоголя, влияние на новорожденного;P04.3;30211
10030161;Матерью употребление алкоголя, влияние на плод;P04.3;30212
10030162;Матерью употребление табака, влияние на новорожденного;P04.2;30213
10030163;Матерью употребление табака, влияние на плод;P04.2;30214
10030164;Маточное кровотечение;N93.9;30215
10030165;Маточной трубы продувание;Z31.4;30216
10030166;Маффуччи синдром;Q78.4;30217
