зяином квартиры;Z59.2;59528
10066751;Свищ сосцевидного отростка;H70.1;66819
10066752;Свищ среднего уха;H74.8;66820
10066753;Свищ стенки брюшной полости;K63.2;66821
10066754;Свищ стенки влагалища;N82.9;66822
10066755;Свищ сустава;M25.1;66823
10066756;Свищ тонкокишечный-толстокишечный;K63.2;66824
10066757;Свищ торакальный;J86.0;66825
10066758;Свищ торакоабдоминальный;J86.0;66826
10066759;Свищ тощей кишки;K63.2;66827
10066760;Свищ травматический артериовенозный;T14.5;66828
10066761;Свищ трахеи;Q32.1;66829
10066762;Свищ трахеи внутренний;Q32.1;66830
10066763;Свищ трахеи врожденный;Q32.1;66831
10066764;Свищ трахеи наружный;Q32.1;66832
10066765;Свищ трахеопищеводный;J86.0;66833
10066766;Свищ трахеопищеводный врожденный;Q39.2;66834
10066767;Свищ трахеопищеводный врожденный с атрезией пищевода;Q39.1;66835
10066768;Свищ трахеопищеводный вследствие трахеостомии;J95.0;66836
10066769;Свищ урахуса;Q64.4;66837
10066770;Свищ урахуса врожденный;Q64.4;66838
10066771;Свищ уретровлагалищный;N82.1;66839
10066772;Свищ уретромочепузырный;N32.2;66840
10066773;Свищ уретромошоночный;N50.8;66841
10066774;Свищ уретропромежностно-мочепузырный;N32.2;66842
10066775;Свищ уретропромежностный;N36.0;66843
10066776;Свищ уретроректальный;N36.0;66844
10066777;Свищ уретроректальный врожденный;Q64.7;66845
10066778;Свищ уретры;N36.0;66846
10066779;Свищ уретры врожденный;Q64.7;66847
10066780;Свищ уретры туберкулезный;A18.1;66848
10066781;Свищ уха;H61.8;66849
10066782;Свищ ушной;H70.1;66850
10066783;Свищ ушной раковины;H61.1;66851
10066784;Свищ ушной раковины врожденный;Q18.1;66852
10066785;Свищ фекальный;K63.2;66853
10066786;Свищ фронтального синуса;J32.1;66854
10066787;Свищ холедоходуоденальный;K83.3;66855
10066788;Свищ холецистодуоденальный;K82.3;66856
10066789;Свищ холецистокишечный;K82.3;66857
10066790;Свищ цекосигмовиднокишечный;K63.2;66858
10066791;Свищ цереброспинальный;G96.0;66859
10066792;Свищ цереброспинальный ликворный;G96.0;66860
10066793;Свищ червеобразного отростка;K38.3;66861
10066794;Свищ шеечно-мочепузырный;N82.1;66862
10066795;Свищ шеечно-сигмовиднокишечный;N82.4;66863
10066796;Свищ шеи боковой;Q18.1;66864
10066797;Свищ шейки матки;N82.9;66865
10066798;Свищ шейно-ушной;Q18.1;66866
10066799;Свищ щечно-верхнечелюстной;J32.0;66867
10066800;Свищ щитовидной железы;E07.8;66868
10066801;Свищ щитовидно-язычного протока;Q89.2;66869
10066802;Свищ этмоидальный;J32.2;66870
10066803;Свищ яйцевода наружный;N82.5;66871
10066804;Свободное тело в коленном суставе;M23.4;66872
10066805;Свободное тело в суставе, кроме коленного;M24.0;66873
10066806;Свободное тело в сухожильном влагалище;M67.8;66874
10066807;Свободные зубы;K08.8;66875
10066808;Свободный зуб;K08.8;66876
10066809;Святая триада;K44.9;66877
10066810;Сгорбленность;M40.2;66878
10066811;Сгорбленность врожденная;Q76.4;66879
10066812;Сгорбленность приобретенная;M40.2;66880
10066813;Сгустком закупорка артерии;I74.9;66881
10066814;Сгустком кровяным закупорка артерии;I74.9;66882
10066815;Сгустком кровяным окклюзия артерии;I74.9;66883
10066816;Сгустком окклюзия артерии;I74.9;66884
10066817;Сгусток в артерии;I74.9;66885
10066818;Сгусток в вене;I82.9;66886
10066819;Сгусток в головном мозгу;I66.9;66887
10066820;Сгусток в головном мозгу интрадуральный;I66.9;66888
10066821;Сгусток в головном мозгу экстрадуральный;I66.9;66889
10066822;Сгусток в кровотоке;I74.9;66890
10066823;Сгусток в мочевом пузыре;N32.8;66891
10066824;Сгусток коронарный;I21.9;66892
10066825;Сгусток коронарный не приводящий к инфаркту;I24.0;66893
10066826;Сгусток кровяной в артерии;I74.9;66894
10066827;Сгусток кровяной в вене;I82.9;66895
10066828;Сгусток кровяной в головном мозгу;I66.9;66896
10066829;Сгусток кровяной в головном мозгу интрадуральный;I66.9;66897
10066830;Сгусток кровяной в головном мозгу экстрадуральный;I66.9;66898
10066831;Сгусток кровяной в мочевом пузыре;N32.8;66899
10066832;Сдавление артерии;I77.1;66900
10066833;Сдавление брахиального сплетения;G54.0;66901
10066834;Сдавление бронха;J98.0;66902
10066835;Сдавление вены;I87.1;66903
10066836;Сдавление верхней полой вены;I87.1;66904
10066837;Сдавление головного мозга;G93.5;66905
10066838;Сдавление головного мозга вследствие контузии;S06.2;66906
10066839;Сдавление головного мозга вследствие контузии диффузной;S06.2;66907
10066840;Сдавление головного мозга вследствие контузии очаговой;S06.3;66908
10066841;Сдавление головного мозга вследствие родовой травмы;P11.1;66909
10066842;Сдавление головного мозга вследствие травмы;S06.2;66910
10066843;Сдавление заднего большеберцового нерва;G57.5;66911
10066844;Сдавление заднего большеберцового нерва в стопном туннеле;G57.5;66912
10066845;Сдавление зрительного нерва;H47.0;66913
10066846;Сдавление как родовая травма головного мозга;P11.2;66914
10066847;Сдавление кишечника;K56.6;66915
10066848;Сдавление конского хвоста;G83.4;66916
10066849;Сдавление конуса тенториального;G93.5;66917
10066850;Сдавление корешка нерва;G54.9;66918
10066851;Сдавление корешка спинномозгового нерва;G54.9;66919
10066852;Сдавление корешка спинномозгового нерва при смещении межпозвоночного диска с миелопатией;M51.0;66920
10066853;Сдавление корешка спинномозгового нерва при смещении межпозвоночного диска шейного отдела;M50.1;66921
10066854;Сдавление корешка спинномозгового нерва при смещении межпозвоночного диска шейного отдела с миелопатией;M50.0;66922
10066855;Сдавление легкого;J98.4;66923
10066856;Сдавление лимфатического сосуда;I89.0;66924
10066857;Сдавление лица;Q67.1;66925
10066858;Сдавление локтевого нерва;G56.2;66926
10066859;Сдавление нерва;G58.9;66927
10066860;Сдавление нерва вследствие новообразования;D48.9;66928
10066861;Сдавление нерва вследствие смещения межпозвоночного диска с миелопатией;M51.0;66929
10066862;Сдавление нерва вследствие смещения межпозвоночного диска шейного отдела;M50.1;66930
10066863;Сдавление нерва вследствие смещения межпозвоночного диска шейного отдела с миелопатией;M50.0;66931
10066864;Сдавление нерва вследствие спондилеза;M47.2;66932
10066865;Сдавление нерва корешка спинномозгового нерва при смещении межпозвоночного диска;M51.1;66933
10066866;Сдавление нерва корешка сплетения из-за смещения межпозвоночного диска;M51.1;66934
10066867;Сдавление нерва корешка сплетения при смещении межпозвоночного диска;M51.1;66935
10066868;Сдавление нервного сплетения;G54.9;66936
10066869;Сдавление нижней полой вены;I87.1;66937
10066870;Сдавление новорожденного во время родов;P15.9;66938
10066871;Сдавление новорожденного при родах;P15.9;66939
10066872;Сдавление передней ветви средостения спондилогенное;M47.0;66940
10066873;Сдавление передней ветви средостения спондилогенное грудного отдела;M47.0;66941
10066874;Сдавление передней ветви средостения спондилогенное поясничного отдела;M47.0;66942
10066875;Сдавление передней ветви средостения спондилогенное пояснично-крестцового отдела;M47.0;66943
10066876;Сдавление передней ветви средостения спондилогенное шейного отдела;M47.0;66944
10066877;Сдавление пищевода;K22.2;66945
10066878;Сдавление плечевого сплетения;G54.0;66946
10066879;Сдавление плода во время родов;P15.9;66947
10066880;Сдавление плода при родах;P15.9;66948
10066881;Сдавление полой вены;I87.1;66949
10066882;Сдавление пояснично-крестцового сплетения;G54.1;66950
10066883;Сдавление пупочного канатика вследствие выпадения пуповины;O69.0;66951
10066884;Сдавление пупочного канатика вследствие обвития пуповины вокруг шеи;O69.1;66952
10066885;Сдавление пупочного канатика при выпадении пуповины, влияние на новорожденного;P02.4;66953
10066886;Сдавление пупочного канатика при выпадении пуповины, влияние на плод;P02.4;66954
10066887;Сдавление пупочного канатика, влияние на новорожденного;P02.5;66955
10066888;Сдавление пупочного канатика, влияние на плод;P02.5;66956
10066889;Сдавление пупочного канатика, осложняющее родоразрешение;O69.2;66957
10066890;Сдавление пупочного канатика, осложняющее родоразрешение, уточненное;O69.2;66958
10066891;Сдавление с асфиксией;T71;66959
10066892;Сдавление с удушением;T71;66960
10066893;Сдавление седалищного нерва;G57.0;66961
10066894;Сдавление седалищного нерва острое;G57.0;66962
10066895;Сдавление симпатического нерва;G90.8;66963
10066896;Сдавление слуховой трубы;H68.1;66964
10066897;Сдавление спинного мозга;G95.2;66965
10066898;Сдавление срединного нерва;G56.0;66966
10066899;Сдавление срединного нерва в кистевом туннеле;G56.0;66967
10066900;Сдавление средостения;J98.5;66968
10066901;Сдавление средостения спондилогенное;M47.1;66969
10066902;Сдавление средостения спондилогенное грудного отдела;M47.1;66970
10066903;Сдавление средостения спондилогенное поясничного отдела;M47.1;66971
10066904;Сдавление средостения спондилогенное пояснично-крестцового отдела;M47.1;66972
10066905;Сдавление средостения спондилогенное шейного отдела;M47.1;66973
10066906;Сдавление средостения травматическое;T09.3;66974
10066907;Сдавление ствола головного мозга;G93.5;66975
10066908;Сдавление травматическое;S06.2;66976
10066909;Сдавление трахеи;J39.8;66977
10066910;Сдавление чревной артерии;I77.4;66978
10066911;Сдавления чревной артерии синдром;I77.4;66979
10066912;Сдвиг слуховой пороговый;H93.2;66980
10066913;Сдвиг слуховой пороговый преходящий;H93.2;66981
10066914;Сдвиг средостения;R93.8;66982
10066915;Сдвоенная плацента;O43.1;66983
10066916;Себорейная экзема;L21.9;66984
10066917;Себорейная экзема детская;L21.1;66985
10066918;"Себорейный ""чепчик младенца""";L21.0;66986
10066919;Себорейный дерматит;L21.9;66987
10066920;Себорейный дерматит детский;L21.1;66988
10066921;Себорейный кератоз;L82;66989
10066922;Себорея;R23.8;66990
10066923;Себорея головы;L21.0;66991
10066924;Севера болезнь;M92.6;66992
10066925;Севера остеохондроз;M92.6;66993
10066926;Североамериканский бластомикоз;B40.9;66994
10066927;Седина врожденная;Q84.2;66995
10066928;Седина ранняя;L67.1;66996
10066929;Седловидная спина;M40.5;66997
10066930;Седловидный нос;M95.0;66998
10066931;Седловидный нос вследствие сифилиса;A50.5;66999
10066932;Седловидный эмбол аорты;I74.0;67000
10066933;Сезари болезнь;C84.1;67001
10066934;Сезари ретикулез;C84.1;67002
10066935;Сезари синдром;C84.1;67003
10066936;Секвестр глазницы;H05.1;67004
10066937;Секвестр зубной;K10.2;67005
10066938;Секвестр кости;M86.6;67006
10066939;Секвестр кости челюсти;K10.2;67007
10066940;Секвестр носового синуса;J32.9;67008
10066941;Секвестр придаточного синуса;J32.9;67009
10066942;Секвестр синуса;J32.9;67010
10066943;Секвестрация легкого врожденная;Q33.2;67011
10066944;Секвойное легкое;J67.8;67012
10066945;Секвойный пневмонит;J67.8;67013
10066946;Секкеля синдром;Q87.1;67014
10066947;Секреции антидиуретического гормона нарушенной синдром;E22.2;67015
10066948;Секреция антидиуретического гормона нарушенная;E22.2;67016
10066949;Секреция гормона вследствие карциноидной опухоли;E34.0;67017
10066950;Секреция гормона вследствие феохромоцитомы;E27.5;67018
10066951;Секреция гормона эктопическая;E34.2;67019
10066952;Секреция катехоламина феохромоцитомой;E27.5;67020
10066953;Секреция мочи недостаточная;R34;67021
10066954;Секреция мочи чрезмерная;R35;67022
10066955;Сексуальная девиация;F65.9;67023
10066956;Сексуальная девиация множественная;F65.6;67024
10066957;Сексуальная девиация уточненного типа;F65.8;67025
10066958;Сексуального предпочтения неопределенность;F66.0;67026
10066959;Сексуальное предпочтение патологическое;F65.9;67027
10066960;Сексуальной ориентации неопределенность;F66.0;67028
10066961;Сексуальные действия с животными;F65.8;67029
10066962;"Сексуальные извращения - осуществление ""грязных"" телефонных звонков";F65.8;67030
10066963;Селезенка блуждающая;D73.8;67031
10066964;Селена недостаточность алиментарная;E59;67032
10066965;Семейная проблема;Z63.9;67033
10066966;Семейная проблема уточненная;Z63.8;67034
10066967;Семейный распад;Z63.8;67035
10066968;Семейный распад, включающий развод;Z63.5;67036
10066969;Семейный распад, включающий разделение;Z63.5;67037
10066970;Семейный совет по планированию семьи;Z30.0;67038
10066971;Семинома анапластического типа неуточненной локализации;C62.9;67039
10066972;Семинома неуточненной локализации;C62.9;67040
10066973;Семинома спермоцитарная неуточненной локализации;C62.9;67041
10066974;Сенджера-Брауна атаксия;G11.2;67042
10066975;Сенильность;R54;67043
10066976;Сенильность преждевременная;E34.8;67044
10066977;Сенильность с астенией;R54;67045
10066978;Сенильность с дебильностью;R54;67046
10066979;Сенильность с острым состоянием спутанности сознания;F05.1;67047
10066980;Сенильность с психозом;F03;67048
10066981;Сенильность с умственными изменениями психики;F03;67049
10066982;Сенира-Ашера болезнь;L10.4;67050
10066983;Сенира-Ашера синдром;L10.4;67051
10066984;Сенная лихорадка;J30.1;67052
10066985;Сенситивный бред;F22.0;67053
10066986;Сенситизация аутоэритроцитарная;D69.2;67054
10066987;Сенсорные нарушения мочевого пузыря;N31.2;67055
10066988;Сепсис;A41.9;67056
10066989;Сепсис актиномикозный;A42.7;67057
10066990;Сепсис анаэробный;A41.4;67058
10066991;Сепсис бактериальный новорожденного;P36.9;67059
10066992;Сепсис бактериальный новорожденного уточненного типа;P36.8;67060
10066993;Сепсис бактериальный новорожденного, вызванный Escherichia coli;P36.4;67061
10066994;Сепсис бактериальный новорожденного, вызванный анаэробными микроорганизмами;P36.5;67062
10066995;Сепсис бактериальный новорожденного, вызванный стафилококком;P36.3;67063
10066996;Сепсис бактериальный новорожденного, вызванный стафилококком золотистым;P36.2;67064
10066997;Сепсис бактериальный новорожденного, вызванный стрептококком;P36.1;67065
10066998;Сепсис бактериальный новорожденного, вызванный стрептококком группы B;P36.0;67066
10066999;Сепсис в родах;O85;67067
10067000;Сепсис внутриглазной;H44.0;67068
10067001;Сепсис вызванный артериальным трансплантом;T82.7;67069
10067002;Сепсис вызванный имплантатами;T85.7;67070
10067003;Сепсис вызванный протезными устройствами;T85.7;67071
10067004;Сепсис вызванный трансплантатами;T85.7;67072
10067005;Сепсис гангренозный;A41.9;67073
10067006;Сепсис генерализованный;A41.9;67074
10067007;Сепсис как осложнение инфузии;T80.2;67075
10067008;Сепсис как осложнение инъекции;T80.2;67076
10067009;Сепсис как осложнение трансфузии;T80.2;67077
10067010;Сепсис кандидозный;B37.7;67078
10067011;Сепсис клостридиальный;A41.4;67079
10067012;Сепсис криптогенный;A41.9;67080
10067013;Сепсис мочевой;N39.0;67081
10067014;Сепсис новорожденного;P36.9;67082
10067015;Сепсис новорожденного, вызванный Escherichia coli;P36.4;67083
10067016;Сепсис новорожденного, вызванный анаэробными микроорганизмами;P36.5;67084
10067017;Сепсис новорожденного, вызванный стафилококком;P36.3;67085
10067018;Сепсис новорожденного, вызванный стафилококком золотистым;P36.2;67086
10067019;Сепсис ограниченный, в операционной ране;T81.4;67087
10067020;Сепсис отверстия трахеостомы;J95.0;67088
10067021;Сепсис пневмококковый;A40.3;67089
10067022;Сепсис после родов;O85;67090
10067023;Сепсис послеродовой;O85;67091
10067024;Сепсис пупочный;P38;67092
10067025;Сепсис пупочный вызванный уточненным микроорганизмом;P38;67093
10067026;Сепсис пупочный новорожденного;P38;67094
10067027;Сепсис пупочный новорожденного со столбняком;A33;67095
10067028;Сепсис пупочный с столбняком;A33;67096
10067029;Сепсис стафилококковый, вызванный Staphylococcus aureus;A41.0;67097
10067030;Сепсис стафилококковый, вызванный стафилококком;A41.2;67098
10067031;Сепсис стафилококковый, вызванный стафилококком коагулазо-негативным;A41.1;67099
10067032;Сепсис стафилококковый, вызванный стафилококком уточненным;A41.1;67100
10067033;Сепсис стрептококковый, вызванный Streptococcus agalactiae;A40.1;67101
10067034;Сепсис стрептококковый, вызванный Streptococcus pneumoniae;A40.3;67102
10067035;Сепсис стрептококковый, вызванный Streptococcus pyogenes;A40.0;67103
10067036;Сепсис стрептококковый, вызванный стрептококком;A40.9;67104
10067037;Сепсис стрептококковый, вызванный стрептококком группы A;A40.0;67105
10067038;Сепсис стрептококковый, вызванный стрептококком группы D;A40.2;67106
10067039;Сепсис стрептококковый, вызванный стрептококком группы В;A40.1;67107
10067040;Сепсис стрептококковый, вызванный уточненным стрептококком;A40.8;67108
10067041;Сепсис тазовый;O85;67109
10067042;Сепсис тяжелый, как результат заболевания, классифицированного в других рубриках;R65.1;67110
10067043;Сепсис уточненный;P36.8;67111
10067044;Сепсис, вызванный Bacillus anthracis;A22.7;67112
10067045;Сепсис, вызванный Clostridium difficile;A41.4;67113
10067046;Сепсис, вызванный Clostridium perfringens;A41.4;67114
10067047;Сепсис, вызванный Erysipelothrix;A26.7;67115
10067048;Сепсис, вызванный Erysipelothrix erysipeloid;A26.7;67116
10067049;Сепсис, вызванный Erysipelothrix rhusiopathiae;A26.7;67117
10067050;Сепсис, вызванный Escherichia coli;A41.5;67118
10067051;Сепсис, вызванный Haemophilus influenzae;A41.3;67119
10067052;Сепсис, вызванный Listeria monocytogenes;A32.7;67120
10067053;Сепсис, вызванный Salmonella;A02.1;67121
10067054;Сепсис, вызванный Salmonella arizonae;A02.1;67122
10067055;Сепсис, вызванный Salmonella cholerae-suis;A02.1;67123
10067056;Сепсис, вызванный Salmonella enteritidis;A02.1;67124
10067057;Сепсис, вызванный Salmonella typhimurium;A02.1;67125
10067058;Сепсис, вызванный грам-отрицательными анаэробными микроорганизмами;A41.4;67126
10067059;Сепсис, вызванный грам-отрицательными микроорганизмами;A41.5;67127
10067060;Сепсис, вызванный грудным имплантатом;T85.7;67128
10067061;Сепсис, вызванный диализным зондом;T82.7;67129
10067062;Сепсис, вызванный диализным интраперитонеальным зондом;T85.7;67130
10067063;Сепсис, вызванный диализным почечным зондом;T82.7;67131
10067064;Сепсис, вызванный желудочковым внутричерепным шунтом;T85.7;67132
10067065;Сепсис, вызванный желудочно-кишечным имплантатом;T85.7;67133
10067066;Сепсис, вызванный желудочно-кишечным протезным устройством;T85.7;67134
10067067;Сепсис, вызванный желудочно-кишечным трансплантатом;T85.7;67135
10067068;Сепсис, вызванный зондом;T85.7;67136
10067069;Сепсис, вызванный имплантатом внутренней фиксации;T84.6;67137
10067070;Сепсис, вызванный имплантатом желчного протока;T85.7;67138
10067071;Сепсис, вызванный имплантатом пищевода;T85.7;67139
10067072;Сепсис, вызванный имплантатом сердца;T82.7;67140
10067073;Сепсис, вызванный имплантатом уточненным;T85.7;67141
10067074;Сепсис, вызванный импульсным генератором мозга;T85.7;67142
10067075;Сепсис, вызванный импульсным генератором нервной системы;T85.7;67143
10067076;Сепсис, вызванный импульсным генератором периферийного нерва;T85.7;67144
10067077;Сепсис, вызванный импульсным генератором сердца и сосудов;T82.7;67145
10067078;Сепсис, вызванный импульсным генератором спинного мозга;T85.7;67146
10067079;Сепсис, вызванный инфузионным зондом;T82.7;67147
10067080;Сепсис, вызванный инфузионным спинальным зондом;T85.7;67148
10067081;Сепсис, вызванный инфузионным субдуральным зондом;T85.7;67149
10067082;Сепсис, вызванный инфузионным эпидуральным зондом;T85.7;67150
10067083;Сепсис, вызванный катетером;T85.7;67151
10067084;Сепсис, вызванный клапаном;T82.6;67152
10067085;Сепсис, вызванный мочевым имплантатом;T83.5;67153
10067086;Сепсис, вызванный мочевым импульсным генератором;T83.5;67154
10067087;Сепсис, вызванный мочевым катетером;T83.5;67155
10067088;Сепсис, вызванный мочевым протезным устройством;T83.5;67156
10067089;Сепсис, вызванный мочевым стимулятором;T83.5;67157
10067090;Сепсис, вызванный мочевым трансплантатом;T83.5;67158
10067091;Сепсис, вызванный мочевым электродным устройством;T83.5;67159
10067092;Сепсис, вызванный мочевым электронным устройством;T83.5;67160
10067093;Сепсис, вызванный орбитальным имплантатом;T85.7;67161
10067094;Сепсис, вызванный ортопедическим имплантатом;T84.7;67162
10067095;Сепсис, вызванный ортопедическим трансплантатом;T84.7;67163
10067096;Сепсис, вызванный ортопедическым протезным устройством;T84.7;67164
10067097;Сепсис, вызванный половым имплантатом;T83.6;67165
10067098;Сепсис, вызванный половым протезным устройством;T83.6;67166
10067099;Сепсис, вызванный половым трансплантатом;T83.6;67167
10067100;Сепсис, вызванный протезным сосудистым устройством;T82.7;67168
10067101;Сепсис, вызванный протезным устройством внутренней фиксации;T84.6;67169
10067102;Сепсис, вызванный протезным устройством желчного протока;T85.7;67170
10067103;Сепсис, вызванный протезным устройством пищевода;T85.7;67171
10067104;Сепсис, вызванный протезным устройством сердца;T82.7;67172
10067105;Сепсис, вызванный протезным устройством уточненным;T85.7;67173
10067106;Сепсис, вызванный протезным электронным устройством нервной системы;T85.7;67174
10067107;Сепсис, вызванный протезным электронным устройством спинного мозга;T85.7;67175
10067108;Сепсис, вызванный протезом клапана;T82.6;67176
10067109;Сепсис, вызванный протезом сустава;T84.5;67177
10067110;Сепсис, вызванный роговичным трансплантатом;T85.7;67178
10067111;Сепсис, вызванный сосудистым имплантатом;T82.7;67179
10067112;Сепсис, вызванный сосудистым трансплантатом;T82.7;67180
10067113;Сепсис, вызванный стимулятора кости;T84.7;67181
10067114;Сепсис, вызванный стимулятора мозга;T85.7;67182
10067115;Сепсис, вызванный стимулятора нервной системы;T85.7;67183
10067116;Сепсис, вызванный стимулятора периферийного нерва;T85.7;67184
10067117;Сепсис, вызванный стимулятора спинного мозга;T85.7;67185
10067118;Сепсис, вызванный стимулятором сердца и сосудов;T82.7;67186
10067119;Сепсис, вызванный трансплантатом внутренней фиксации;T84.6;67187
10067120;Сепсис, вызванный трансплантатом желчного протока;T85.7;67188
10067121;Сепсис, вызванный трансплантатом клапана;T82.7;67189
10067122;Сепсис, вызванный трансплантатом пищевода;T85.7;67190
10067123;Сепсис, вызванный трансплантатом сердца;T82.7;67191
10067124;Сепсис, вызванный трансплантатом уточненным;T85.7;67192
10067125;Сепсис, вызванный уточненным микроорганизмом;A41.8;67193
10067126;Сепсис, вызванный электродным устройством кости;T84.7;67194
10067127;Сепсис, вызванный электродным устройством мозга;T85.7;67195
10067128;Сепсис, вызванный электродным устройством нервной системы;T85.7;67196
10067129;Сепсис, вызванный электродным устройством периферийного нерва;T85.7;67197
10067130;Сепсис, вызванный электродным устройством сердца и сосудов;T82.7;67198
10067131;Сепсис, вызванный электродным устройством спинного мозга;T85.7;67199
10067132;Сепсис, вызванный электронным устройством кости;T84.7;67200
10067133;Сепсис, вызванный электронным устройством мозга;T85.7;67201
10067134;Сепсис, вызванный электронным устройством периферийного нерва;T85.7;67202
10067135;Сепсис, вызванный электронным устройством сердца и сосудов;T82.7;67203
10067136;Сепсис, осложняющий аборт;O08.0;67204
10067137;Сепсис, осложняющий аборт, последующий эпизод;O08.0;67205
10067138;Сепсис, осложняющий вливание;T80.2;67206
10067139;Сепсис, осложняющий внематочную беременность;O08.0;67207
10067140;Сепсис, осложняющий иммунизацию;T88.0;67208
10067141;Сепсис, осложняющий переливание;T80.2;67209
10067142;Сепсис, осложняющий пузырный занос;O08.0;67210
10067143;Сепсис, осложняющий терапевтическое введение;T80.2;67211
10067144;Септическая инфекция;L02.9;67212
10067145;Септическая инфекция горла;J02.0;67213
10067146;Септическая инфекция горла стрептококковая;J02.0;67214
10067147;Септическая инфекция желчного пузыря;K81.0;67215
10067148;Септическая инфекция желчного пузыря острая;K81.0;67216
10067149;Септическая инфекция кисти;L03.1;67217
10067150;Септическая инфекция кисти с лимфангитом;L03.1;67218
10067151;Септическая инфекция матки;N71.9;67219
10067152;Септическая инфекция миндалин хроническая;J35.0;67220
10067153;Септическая инфекция ноги за исключением пальца ноги;L03.1;67221
10067154;Септическая инфекция ноги с лимфангитом, за исключением пальца ноги;L03.1;67222
10067155;Септическая инфекция пальца ноги;L03.0;67223
10067156;Септическая инфекция пальца ноги с лимфангитом;L03.0;67224
10067157;Септическая инфекция пальца руки;L03.0;67225
10067158;Септическая инфекция пальца руки с лимфангитом;L03.0;67226
10067159;Септическая инфекция пуповины;P38;67227
10067160;Септическая инфекция руки;L03.1;67228
10067161;Септическая инфекция руки с лимфангитом;L03.1;67229
10067162;Септическая инфекция селезенки;D73.8;67230
10067163;Септическая инфекция селезенки острая;D73.8;67231
10067164;Септическая инфекция стопы за исключением пальца ноги;L03.1;67232
10067165;Септическая инфекция стопы за исключением пальцев ноги;L03.1;67233
10067166;Септическая инфекция стопы с лимфангитом, за исключением пальца ноги;L03.1;67234
10067167;Септическая инфекция стопы с лимфангитом, за исключением пальцев ноги;L03.1;67235
10067168;Септическая инфекция сустава;M00.9;67236
10067169;Септический ноготь;L03.0;67237
10067170;Септическое горло;J02.0;67238
10067171;Сера в ухе;H61.2;67239
10067172;Сердечная смерть внезапная;I46.1;67240
10067173;Сердечная тампонада;I31.9;67241
10067174;Сердце двухкамерное;Q20.8;67242
10067175;Сердце легочное;I27.9;67243
10067176;Сердце легочное острое;I26.0;67244
10067177;Сердце легочное хроническое;I27.9;67245
10067178;Сердце трехкамерное;Q20.8;67246
10067179;Сердце трехкамерное двухжелудочковое;Q21.1;67247
10067180;Сердце трехкамерное двухпредсердное;Q20.4;67248
10067181;Сердце трехпредсердное;Q24.2;67249
10067182;Сердцебиение;R00.2;67250
10067183;Сердцебиение психогенное;F45.3;67251
10067184;Серная пробка в ухе;H61.2;67252
10067185;Серная пробка в ухе застрявшая;H61.2;67253
10067186;Серная пробка в ухе накопившаяся;H61.2;67254
10067187;Серозит множественный;K65.8;67255
10067188;Серозит множественный брюшинный;K65.8;67256
10067189;Серологичекая реакция на сифилис ложноположительная;R76.2;67257
10067190;Серологичекая реакция на сифилис повторно-активизированная;A53.0;67258
10067191;Серологичекая реакция на сифилис положительная;A53.0;67259
10067192;Серологичекая реакция на сифилис положительная ложная;R76.2;67260
10067193;Серповидно-клеточная анемия;D57.1;67261
10067194;Серповидно-клеточная анемия с кризом;D57.0;67262
10067195;Сертоли-клеточная аденома неуточненной локализации у женщин;D27;67263
10067196;Сертоли-клеточная аденома неуточненной локализации у мужчин;D29.2;67264
10067197;Сертоли-клеточная карцинома неуточненной локализации;C62.9;67265
10067198;Сертоли-клеточная карцинома неуточненной локализации у женщин;C56;67266
10067199;Сертоли-клеточная карцинома неуточненной локализации у мужчин;C62.9;67267
10067200;Сертоли-клеточное новообразование неуточненной локализации у женщин;D27;67268
10067201;Сертоли-клеточное новообразование неуточненной локализации у мужчин;D29.2;67269
10067202;Сертоли-клеточное новообразование с накоплением липидов неуточненной локализации у женщин;D27;67270
10067203;Сертоли-клеточное новообразование с накоплением липидов неуточненной локализации у мужчин;D29.2;67271
10067204;Сертоли-Лейдига клеточная опухоль неуточненной локализации у женщин;D27;67272
10067205;Сертоли-Лейдига клеточная опухоль неуточненной локализации у мужчин;D29.2;67273
10067206;Серферов узелки;T14.0;67274
10067207;Серферов узлы;T14.0;67275
10067208;Сесамоидит;M86.8;67276
10067209;Сестана-Шене паралич;I63.0;67277
10067210;Сестана-Шене синдром;I63.0;67278
10067211;Сечение кесарево;O82.9;67279
10067212;Сечение кесарево предыдущее в беременности;O34.2;67280
10067213;Сечение кесарево предыдущее в беременности, влияние на новорожденного;P03.8;67281
10067214;Сечение кесарево предыдущее в беременности, влияние на плод;P03.8;67282
10067215;Сечение кесарево предыдущее в родах;O34.2;67283
10067216;Сечение кесарево предыдущее в родах, влияние на новорожденного;P03.8;67284
10067217;Сечение кесарево предыдущее в родах, влияние на плод;P03.8;67285
10067218;Сечение кесарево со смертью матери, влияние на новорожденного;P01.6;67286
10067219;Сечение кесарево со смертью матери, влияние на плод;P01.6;67287
10067220;Сечение кесарево, влияние на новорожденного;P03.4;67288
10067221;Сечение кесарево, влияние на плод;P03.4;67289
10067222;Сиалидоз;E77.1;67290
10067223;Сиалит;K11.2;67291
10067224;Сиалит гнойный;K11.2;67292
10067225;Сиалит хронический;K11.2;67293
10067226;Сиалоаденопатия;K11.9;67294
10067227;Сиалоадентит;K11.2;67295
10067228;Сиалоангит;K11.2;67296
10067229;Сиалоангит гнойный;K11.2;67297
10067230;Сиалоангит хронический;K11.2;67298
10067231;Сиалоденит;K11.2;67299
